virus,material,temperature,humidity,replicate,time,titer,n_wells,detection_limit_log10_titer,log10_titer,strain,trial_unique_name,grouping_name,trial_unique_id,titer_id
HCoV-19,Copper,21-23,40,1,0,1778.27941,4,1.5,3.25,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,1
HCoV-19,Copper,21-23,40,1,1,177.827941,4,1.5,2.25,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,2
HCoV-19,Copper,21-23,40,1,4,56.23413252,4,1.5,1.75,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,3
HCoV-19,Copper,21-23,40,1,8,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,4
HCoV-19,Copper,21-23,40,1,24,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,5
HCoV-19,Copper,21-23,40,1,48,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,6
HCoV-19,Copper,21-23,40,1,72,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,7
HCoV-19,Copper,21-23,40,1,96,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,8
HCoV-19,Copper,21-23,40,1,120,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,9
HCoV-19,Copper,21-23,40,1,144,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,10
HCoV-19,Copper,21-23,40,1,168,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,11
HCoV-19,Copper,21-23,40,2,0,1000,4,1.5,3,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,12
HCoV-19,Copper,21-23,40,2,1,316.227766,4,1.5,2.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,13
HCoV-19,Copper,21-23,40,2,4,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,14
HCoV-19,Copper,21-23,40,2,8,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,15
HCoV-19,Copper,21-23,40,2,24,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,16
HCoV-19,Copper,21-23,40,2,48,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,17
HCoV-19,Copper,21-23,40,2,72,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,18
HCoV-19,Copper,21-23,40,2,96,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,19
HCoV-19,Copper,21-23,40,2,120,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,20
HCoV-19,Copper,21-23,40,2,144,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,21
HCoV-19,Copper,21-23,40,2,168,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,22
HCoV-19,Copper,21-23,40,3,0,3162.27766,4,1.5,3.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,23
HCoV-19,Copper,21-23,40,3,1,562.3413252,4,1.5,2.75,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,24
HCoV-19,Copper,21-23,40,3,4,177.827941,4,1.5,2.25,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,25
HCoV-19,Copper,21-23,40,3,8,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,26
HCoV-19,Copper,21-23,40,3,24,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,27
HCoV-19,Copper,21-23,40,3,48,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,28
HCoV-19,Copper,21-23,40,3,72,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,29
HCoV-19,Copper,21-23,40,3,96,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,30
HCoV-19,Copper,21-23,40,3,120,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,31
HCoV-19,Copper,21-23,40,3,144,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,32
HCoV-19,Copper,21-23,40,3,168,31.6227766,4,1.5,1.5,HCoV-19,HCoV-19 Copper 21-23¡«C 40% RH,Copper 21-23¡«C 40% RH,1,33
HCoV-19,Plastic,21-23,40,1,0,10000,4,0.5,4,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,34
HCoV-19,Plastic,21-23,40,1,1,5623.413252,4,0.5,3.75,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,35
HCoV-19,Plastic,21-23,40,1,4,1000,4,0.5,3,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,36
HCoV-19,Plastic,21-23,40,1,8,1000,4,0.5,3,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,37
HCoV-19,Plastic,21-23,40,1,24,562.3413252,4,0.5,2.75,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,38
HCoV-19,Plastic,21-23,40,1,48,17.7827941,4,0.5,1.25,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,39
HCoV-19,Plastic,21-23,40,1,72,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,40
HCoV-19,Plastic,21-23,40,1,96,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,41
HCoV-19,Plastic,21-23,40,1,120,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,42
HCoV-19,Plastic,21-23,40,1,144,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,43
HCoV-19,Plastic,21-23,40,1,168,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,44
HCoV-19,Plastic,21-23,40,2,0,3162.27766,4,0.5,3.5,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,45
HCoV-19,Plastic,21-23,40,2,1,562.3413252,4,0.5,2.75,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,46
HCoV-19,Plastic,21-23,40,2,4,1778.27941,4,0.5,3.25,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,47
HCoV-19,Plastic,21-23,40,2,8,562.3413252,4,0.5,2.75,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,48
HCoV-19,Plastic,21-23,40,2,24,56.23413252,4,0.5,1.75,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,49
HCoV-19,Plastic,21-23,40,2,48,56.23413252,4,0.5,1.75,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,50
HCoV-19,Plastic,21-23,40,2,72,5.623413252,4,0.5,0.75,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,51
HCoV-19,Plastic,21-23,40,2,96,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,52
HCoV-19,Plastic,21-23,40,2,120,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,53
HCoV-19,Plastic,21-23,40,2,144,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,54
HCoV-19,Plastic,21-23,40,2,168,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,55
HCoV-19,Plastic,21-23,40,3,0,3162.27766,4,0.5,3.5,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,56
HCoV-19,Plastic,21-23,40,3,1,1778.27941,4,0.5,3.25,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,57
HCoV-19,Plastic,21-23,40,3,4,3162.27766,4,0.5,3.5,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,58
HCoV-19,Plastic,21-23,40,3,8,3162.27766,4,0.5,3.5,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,59
HCoV-19,Plastic,21-23,40,3,24,1778.27941,4,0.5,3.25,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,60
HCoV-19,Plastic,21-23,40,3,48,10,4,0.5,1,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,61
HCoV-19,Plastic,21-23,40,3,72,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,62
HCoV-19,Plastic,21-23,40,3,96,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,63
HCoV-19,Plastic,21-23,40,3,120,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,64
HCoV-19,Plastic,21-23,40,3,144,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,65
HCoV-19,Plastic,21-23,40,3,168,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Plastic 21-23¡«C 40% RH,Plastic 21-23¡«C 40% RH,2,66
HCoV-19,Steel,21-23,40,1,0,3162.27766,4,0.5,3.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,67
HCoV-19,Steel,21-23,40,1,1,1778.27941,4,0.5,3.25,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,68
HCoV-19,Steel,21-23,40,1,4,1000,4,0.5,3,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,69
HCoV-19,Steel,21-23,40,1,8,1000,4,0.5,3,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,70
HCoV-19,Steel,21-23,40,1,24,100,4,0.5,2,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,71
HCoV-19,Steel,21-23,40,1,48,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,72
HCoV-19,Steel,21-23,40,1,72,5.623413252,4,0.5,0.75,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,73
HCoV-19,Steel,21-23,40,1,96,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,74
HCoV-19,Steel,21-23,40,1,120,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,75
HCoV-19,Steel,21-23,40,1,144,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,76
HCoV-19,Steel,21-23,40,1,168,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,77
HCoV-19,Steel,21-23,40,2,0,5623.413252,4,0.5,3.75,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,78
HCoV-19,Steel,21-23,40,2,1,5623.413252,4,0.5,3.75,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,79
HCoV-19,Steel,21-23,40,2,4,1000,4,0.5,3,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,80
HCoV-19,Steel,21-23,40,2,8,316.227766,4,0.5,2.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,81
HCoV-19,Steel,21-23,40,2,24,100,4,0.5,2,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,82
HCoV-19,Steel,21-23,40,2,48,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,83
HCoV-19,Steel,21-23,40,2,72,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,84
HCoV-19,Steel,21-23,40,2,96,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,85
HCoV-19,Steel,21-23,40,2,120,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,86
HCoV-19,Steel,21-23,40,2,144,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,87
HCoV-19,Steel,21-23,40,2,168,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,88
HCoV-19,Steel,21-23,40,3,0,5623.413252,4,0.5,3.75,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,89
HCoV-19,Steel,21-23,40,3,1,1778.27941,4,0.5,3.25,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,90
HCoV-19,Steel,21-23,40,3,4,1000,4,0.5,3,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,91
HCoV-19,Steel,21-23,40,3,8,3162.27766,4,0.5,3.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,92
HCoV-19,Steel,21-23,40,3,24,56.23413252,4,0.5,1.75,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,93
HCoV-19,Steel,21-23,40,3,48,5.623413252,4,0.5,0.75,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,94
HCoV-19,Steel,21-23,40,3,72,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,95
HCoV-19,Steel,21-23,40,3,96,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,96
HCoV-19,Steel,21-23,40,3,120,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,97
HCoV-19,Steel,21-23,40,3,144,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,98
HCoV-19,Steel,21-23,40,3,168,3.16227766,4,0.5,0.5,HCoV-19,HCoV-19 Steel 21-23¡«C 40% RH,Steel 21-23¡«C 40% RH,3,99
